GeneName	HJV5JBCXX_PR0478_01A0202	HJV5JBCXX_PR0478_02A0403	HJV5JBCXX_PR0478_03A1105	HJV5JBCXX_PR0478_04A1206
Marc1	2	0	0	5
Marc2	1961	1856	2313	2440
Pepd	2173	1952	2457	2465
Tkfc	133	118	132	107
Ada	133	134	148	246
Ado	3476	3967	3190	3449
Adm	0	0	0	0
Adk	528	651	581	651
Adprhl1	0	0	0	0
Adprhl2	1028	1021	1153	1482
Gm3414	214	163	273	268
Gm3415	0	0	0	0
Gm3417	0	0	0	0
Rabepk	897	993	923	1242
Olfr389	0	0	0	0
Insl5	0	0	0	0
Olfr382	0	0	0	0
Olfr381	0	0	0	0
Olfr380	0	0	0	0
Insl3	33	46	60	53
Olfr384	0	0	0	0
Gm16712	4	1	7	8
A930015D03Rik	170	112	201	80
Adgrg7	0	0	0	1
Adgrg6	0	0	1	0
Adgrg5	1275	2217	2495	3467
Adgrg3	141	96	301	169
Adgrg2	1	0	1	0
Adgrg1	5	3	13	77
Rabep1	2706	2371	3153	2780
5730460C07Rik	0	0	0	0
Gm24572	0	0	0	0
Arhgdig	0	0	0	0
Arhgdib	52638	52801	54410	59079
Arhgdia	13738	14820	14813	18026
Lat	12085	13144	13747	15798
Wscd1	0	0	0	0
Wscd2	84	76	120	83
5430401F13Rik	0	0	0	0
Clca3b	0	0	0	0
Gm37013	0	0	0	0
Map2k3os	38	14	51	17
Cftr	1	0	1	0
Bud13	758	656	646	926
A830080D01Rik	791	572	862	1196
1300002E11Rik	619	475	660	798
Olfr654	0	0	0	0
Olfr657	0	0	0	0
Olfr656	0	0	0	0
Olfr651	0	0	0	0
Nif3l1	1440	1147	1274	1502
Olfr653	0	0	0	0
Olfr652	0	0	0	0
Olfr659	0	0	0	0
Olfr658	0	0	0	0
Mir101c	0	0	1	0
Mir101b	0	0	0	0
Mir101a	0	0	0	0
Maob	0	0	3	5
Maoa	18	16	4	11
1700003E16Rik	0	0	0	0
1700049E15Rik	0	0	0	0
Cyb561	31	82	91	68
Atg4c	3	11	4	0
Atg4b	1799	2132	1642	1693
Atg4a	397	269	364	466
Mir873a	0	0	0	0
Mir873b	0	0	0	0
Cox6b1	2207	2335	2418	3218
Cox6b2	15	3	3	16
Ift80	304	617	269	465
Ift81	15	0	0	16
Ift88	147	62	130	237
Stk31	3	0	3	0
Stk33	0	0	0	0
Stk35	218	121	304	219
Stk36	0	0	29	0
Ddb2	452	413	422	451
Depdc1a	8	0	64	59
Depdc1b	142	166	294	167
Ddb1	8041	8304	7875	8185
Shmt2	2042	2295	2665	2196
Shmt1	274	435	276	424
Pim2	3907	5160	5766	6348
Pim3	929	760	1318	1091
Gm15679	0	0	0	0
3110009E18Rik	71	77	93	135
Rab7b	0	0	1	0
Nts	0	0	0	0
Ntm	0	0	0	0
9230104L09Rik	0	0	0	0
Naaa	218	296	359	390
Gm11978	0	0	0	0
Rtn4r	0	0	0	0
Teddm2	0	0	0	0
Teddm3	0	1	0	0
N4bp1	2577	1662	2981	2857
N4bp3	552	588	738	835
N4bp2	514	600	337	550
9130023H24Rik	236	161	231	161
Epb4.1	7740	6761	6746	6449
6720483E21Rik	0	0	4	0
Zfp85	570	502	479	660
Zfp84	1138	1138	1119	1328
Gm13539	0	0	0	0
Zfp81	257	234	161	164
Zfp82	571	396	521	536
B020004C17Rik	0	0	0	0
Gm21221	0	0	0	0
Scamp5	0	0	0	0
4922502N22Rik	0	1	0	0
Ppp2r3c	703	758	853	837
Ppp2r3a	282	141	42	26
C1qbp	2814	2984	2937	3241
Ube2g2	5989	6618	5986	6774
Ube2g1	3234	3980	3973	4108
2410141K09Rik	0	0	0	0
Adam25	0	0	0	0
Adam24	0	0	0	0
Adam21	5	12	2	0
Adam20	0	0	0	0
Adam23	0	0	5	0
Adam22	80	236	267	112
Ifit3	2529	2349	6241	4773
Ifit2	1875	2117	2463	2187
Ifit1	1892	1776	3477	2576
Errfi1	860	610	559	731
Syna	0	0	0	0
Tmem38a	17	15	7	37
Tmem38b	291	366	290	332
Jdp2	99	137	131	216
Dyrk1a	1780	2264	1933	2856
Dyrk1b	118	307	192	232
D3Ertd751e	264	274	218	416
C330022C24Rik	0	0	0	0
Iws1	1610	1759	1946	1920
a	2	0	2	1
Fbll1	0	0	0	0
Gbp2b	6	0	28	51
Nfat5	682	726	925	652
Mir6898	0	0	0	0
Mir6899	0	1	0	0
4930527F14Rik	0	0	0	0
Mir6896	0	0	0	0
Mir6897	0	1	0	0
Msto1	469	448	621	765
Taar7b	0	0	0	0
Taar7a	0	0	0	0
Taar7f	0	0	0	0
Taar7e	0	0	0	0
Taar7d	0	0	11	0
Atf5	2	7	9	2
Atf4	1181	983	1298	1224
Atf7	1756	1965	1825	1669
Atf6	535	758	990	1262
Atf1	1111	1037	1001	1042
Atf3	0	0	1	0
Atf2	2266	2060	2747	2222
1700041A01Rik	0	0	0	0
Rer1	4558	4873	5054	5751
Gm2115	0	0	0	0
Il15ra	534	550	604	679
Carm1	1247	1353	1352	1400
Mul1	484	481	641	603
Ldoc1	0	0	0	0
Pate4	0	0	0	0
Pate2	0	0	0	0
Atp8a2	83	42	78	51
Atp8a1	1299	1627	1835	1895
Tcf15	0	0	0	0
Tcf12	3380	4224	3041	5226
Tcf19	333	533	816	562
Paqr8	246	340	307	428
Ovgp1	49	27	65	22
Eif2s3y	0	1453	0	1627
Eif2s3x	643	478	579	515
Rps6	5616	7141	5787	7813
Drp2	0	0	0	0
Ebna1bp2	1843	2203	2436	2670
Stil	10	22	75	83
Mapt	0	0	1	0
Clu	43	0	0	0
Cys1	0	0	0	0
Lrp2	0	1	9	5
Lrp3	0	0	0	0
Lrp1	0	0	0	28
Lrp6	884	1152	845	1055
Lrp4	0	0	9	1
Lrp5	20	47	79	14
Lrp8	201	145	133	192
Gm17026	0	0	0	0
Map2	3	0	0	0
Itm2b	27086	26904	29540	33193
Itm2a	876	735	807	835
Map6	18	0	54	19
Map7	184	222	154	286
Map4	6605	6568	6856	7621
Eapp	1990	2026	1857	2400
Map9	30	0	1	10
Klhl25	1349	1657	1759	2159
Klhl24	2086	2469	2238	2137
Klhl26	380	488	590	808
Klhl21	2158	1895	1798	1966
Klhl20	1126	1262	1632	1649
Klhl23	5	0	4	0
Mir299b	0	0	0	0
Tgds	911	1094	1094	1223
Klhl29	4	0	2	8
Klhl28	738	784	740	653
1700042G07Rik	0	0	0	0
Dis3l2	866	1045	986	1085
Gsg2	462	409	509	609
Gsg1	0	0	0	3
4930532M18Rik	0	0	0	0
Baat	0	0	0	0
Spred1	126	250	294	237
Spred2	108	165	232	221
Spred3	0	0	0	0
Rag2	0	1	0	0
Rag1	0	0	0	0
Serpind1	20	4	49	24
Adamtsl2	0	22	0	15
Adamtsl3	1	0	9	0
Xaf1	949	732	1604	1759
Adamtsl1	0	0	1	0
Nin	4052	3673	4089	4719
Adamtsl4	25	5	7	27
Adamtsl5	0	0	0	0
Frzb	0	0	0	0
Fads1	362	306	334	219
Fads3	0	0	0	0
Fads2	0	2	0	0
Fads6	0	0	0	0
Eps8	24	127	72	186
Gm10556	0	0	2	0
5031414D18Rik	19	13	17	0
Pik3r6	1	0	2	22
Mecp2	1130	1183	1261	1270
Pik3r5	7353	7366	8013	8733
Zfp92	0	0	0	0
Pik3r2	284	403	297	330
Pik3r1	3507	3596	3464	3980
Gm10081	0	0	0	0
Rrs1	1383	1340	1232	1515
Oxr1	3662	4160	3736	5217
Iqgap1	25510	24083	26518	25931
Iqgap2	7730	6802	8838	7730
Iqgap3	0	0	124	23
1700044C05Rik	0	0	0	0
Whrn	4	18	0	8
Olfr1537	0	0	0	0
Ucma	0	0	0	0
Olfr1535	0	0	0	3
Mpst	33	45	64	56
Afap1	122	178	104	216
Dand5	189	205	117	174
Nup188	1978	2583	2869	2677
Mir467a-8	0	0	0	0
Mir467a-9	0	0	0	0
Mir467a-1	0	0	0	0
Mir467a-2	0	0	0	0
Mir467a-3	0	0	0	0
Mir467a-4	0	0	0	0
Mir467a-5	0	0	0	0
Mir467a-6	0	0	0	0
Mir467a-7	0	0	0	0
Iigp1	259	311	342	1122
Krtap26-1	0	0	0	0
Plg	0	0	0	0
Pln	29	53	72	67
Igflr1	485	708	617	1017
H2-Ob	387	446	269	349
H2-Oa	114	94	142	212
Cpxm1	21	0	8	1
Cpxm2	1	0	3	0
4933436E23Rik	0	0	2	0
Plekhb1	2	9	33	1
Plekhb2	6266	6742	6711	6941
Dnaaf1	0	1	3	0
Dnaaf2	758	654	581	780
Dnaaf3	0	1	12	1
Csgalnact2	1444	1670	1651	1969
Dnaaf5	1093	1274	1335	1273
Csgalnact1	0	1	1	8
Klk1	0	0	0	0
Tlr2	32	50	47	50
Tlr3	11	12	3	105
Tlr1	1218	1329	1207	1400
Tlr6	433	587	301	407
Tlr7	25	0	9	68
Tlr4	28	0	28	32
Tlr5	0	0	0	0
Klk4	0	0	0	0
Tlr8	0	0	0	49
Tlr9	0	0	0	0
Prok1	0	0	0	0
Hist1h2bq	0	0	0	0
Hist1h2br	0	0	0	0
Prok2	0	0	0	0
Mt2	4	6	14	10
Whsc1	1048	1247	1396	1600
Mt1	40	35	44	50
Mt4	0	0	0	0
Hist1h2be	18	9	4	23
Hist1h2bf	0	0	4	4
Hist1h2bg	12	21	16	7
Hist1h2ba	0	0	0	0
Hist1h2bb	4	0	0	3
Hist1h2bc	48	32	32	68
Hist1h2bl	0	1	0	0
Hist1h2bm	4	7	3	4
Hist1h2bn	0	1	0	9
Hist1h2bh	6	2	0	2
Hist1h2bj	5	12	5	24
Hist1h2bk	3	0	0	0
Noxa1	0	0	0	0
A2m	0	0	12	0
Mtr	1353	1548	1754	1394
Pcdhb22	0	0	0	0
Obp1a	0	0	0	0
E030002O03Rik	0	0	0	0
Cuta	1197	1280	1467	1805
Cutc	325	412	272	388
4933411G06Rik	0	0	0	0
Gm13043	0	0	0	0
Gm13040	0	0	0	0
Slc22a30	0	0	0	0
Ankdd1b	60	49	44	40
Mfsd6l	0	0	0	0
9230102K24Rik	0	0	0	2
Plekhd1os	0	0	0	0
Sycp2	1	0	11	0
Sycp3	17	19	26	23
Sycp1	0	0	6	0
Gm21975	28	28	39	27
Mir375	0	0	0	0
Mir377	0	0	0	0
Mir370	0	0	0	0
Smagp	10	0	0	0
Tmem41a	230	253	225	253
Perm1	157	47	53	205
Tmem41b	481	350	489	474
Mir379	0	0	0	0
Prrt4	4	3	19	5
Prrt1	41	42	53	57
Prrt3	1	11	1	1
Prrt2	18	13	29	17
Srgn	7576	6592	9157	9730
Coro2b	1	2	0	2
Coro2a	1763	1527	2712	2228
Urgcp	824	1724	1279	1297
Pbsn	0	0	0	0
Gm12830	0	0	0	0
4930471G03Rik	0	0	0	0
2810006K23Rik	301	334	365	492
Gm5916	0	0	0	6
Cx3cl1	0	0	0	3
Plet1os	0	1	0	3
Smarcc2	5128	4371	5531	5491
Smarcc1	1823	1941	2244	2017
Oaz1-ps	0	0	0	0
Cdsn	0	0	0	0
Usp32	1622	1635	1523	1256
Nfkbil1	321	310	331	382
Gm7457	0	0	0	0
Ngrn	567	724	663	1002
Cds1	0	0	0	0
Cds2	4681	5115	4218	5622
Macf1	11189	11338	15267	12416
1700003C15Rik	0	0	0	0
Tug1	23664	26365	23890	25529
4930477N07Rik	0	0	1	0
Sdr16c6	0	0	0	0
Ell	2238	2289	2397	2210
Sdr16c5	0	0	0	0
Efnb2	0	0	26	26
Efnb3	18	0	8	0
Gm13871	0	0	0	0
1700008P02Rik	0	0	0	0
Hmgb4os	0	0	0	0
Mogat2	0	0	0	0
Mogat1	0	2	0	0
Gm38413	0	0	0	0
Gm6329	0	0	0	1
Gm38416	0	0	1	0
Crabp2	0	0	0	0
Gm1110	1	0	2	0
Htt	3117	2375	2748	2538
Tmem151b	1	0	0	1
Tmem151a	91	109	131	194
C030006K11Rik	305	343	451	526
Rsf1	1828	1638	2012	1858
Tefm	316	452	421	484
Mppe1	3443	3184	3226	3230
D2Wsu81e	724	789	684	815
4930455J16Rik	0	0	0	0
1700020D14Rik	0	0	0	0
4930554I06Rik	0	0	0	0
Bysl	2106	1988	2245	2695
Dis3l	1348	1166	1245	1583
Il23a	0	0	0	0
Eif1	12511	13025	13275	15565
Ubtf	5517	6543	4685	6585
Eif5	18640	21175	18435	21337
Eif6	4218	4272	4506	5183
Il23r	0	0	0	0
2400006E01Rik	0	0	0	0
E2f8	7	11	73	61
Pcdhb21	0	0	35	0
Pola1	745	601	727	637
1700054K19Rik	0	0	0	0
D030025E07Rik	0	0	0	0
Ar	481	696	749	764
Vta1	1675	1512	1639	1802
Sell	6523	10306	5836	14273
Selm	150	108	152	121
Selo	1993	1987	2058	2249
Gip	0	0	0	0
Sele	2	18	3	11
Adck4	312	338	310	421
Adck5	219	429	439	418
Adck2	1738	1387	1864	1834
Adck3	663	645	754	686
Adck1	456	485	521	565
Gif	0	0	0	5
Selt	1018	943	990	1047
Selp	16	3	3	7
Gm5144	0	0	0	0
Gm5141	75	142	176	137
Gm5142	0	0	0	0
Vmn2r-ps54	0	0	0	0
Gm5148	104	146	122	156
4932429P05Rik	0	0	0	0
7420461P10Rik	0	0	0	0
Mterf2	318	311	279	424
Lilrb4a	1058	555	2432	2370
Mterf4	417	431	508	387
Mrs2	810	661	772	810
Trpm8	0	0	0	0
R74862	0	0	0	6
Trpm4	281	142	200	347
Trpm5	0	0	0	0
Trpm6	0	2	2	0
Trpm7	6378	7762	8071	7140
AU015228	0	0	0	0
Trpm1	1	0	33	22
Trpm2	0	0	3	46
Trpm3	0	0	4	0
Pnisr	1925	1433	2635	2047
Rlf	2790	2395	3428	3237
Echdc3	2	0	0	0
Echdc2	7	0	9	0
Echdc1	179	321	183	234
Olfr1082	0	1	0	0
Olfr1080	0	0	0	0
Olfr1086	0	0	0	0
Olfr1087	0	0	0	0
Olfr1084	0	0	0	0
Olfr1085	0	0	0	0
Olfr1089	0	0	0	0
1700001L05Rik	4	1	67	31
Ptger4	1763	1602	1382	2150
Yars2	513	483	469	643
Jag2	0	16	7	12
Jag1	5	71	18	23
Ntf3	0	0	0	0
Ntf5	0	0	0	0
Aph1b	3	1	0	0
Tln2	0	0	0	3
Arcn1	10080	10021	9172	10556
Hoxd1	0	0	0	0
Mir6919	0	0	0	0
Mir6918	3	4	5	2
Mir6917	0	0	0	0
Mir6916	0	0	0	0
Srd5a1	14	4	52	18
Mir6914	0	0	0	0
Mir6913	0	1	0	1
Mir6912	2	3	4	0
Mir6911	0	0	0	0
Mir6910	0	0	0	0
Marf1	684	533	597	656
1700027F09Rik	67	69	48	58
Zkscan14	854	709	921	865
Zkscan17	1439	1355	1418	1817
Zkscan16	0	0	0	0
Gm26391	0	0	0	0
Cyp27b1	0	1	1	2
Chn1os3	0	0	0	0
Tifa	0	0	0	13
Il1f6	0	0	2	0
Limk2	2684	2663	2678	3817
Limk1	635	555	661	883
Mir8099-2	0	0	0	0
Oxct2a	0	0	0	0
Oxct2b	0	0	0	0
5330411J11Rik	0	0	0	0
Spock1	0	0	1	0
Spock2	20	7	25	11
Spock3	5	0	2	9
Sapcd1	0	0	2	0
Sapcd2	13	7	29	31
Tspo	3853	3758	4221	4542
Tnfaip8	2274	2967	2455	3476
Tnfaip6	2	0	3	0
Tnfaip1	860	945	917	821
Tnfaip3	3168	2529	3245	3054
Tnfaip2	0	0	44	153
Actc1	0	0	0	0
Gm1653	0	0	0	0
Cgref1	10	0	10	3
1700018F24Rik	0	0	0	0
Gm10375	0	0	0	0
Ptgs2os2	0	0	0	0
AI846148	437	526	583	471
4930554H23Rik	0	0	0	0
4930480K15Rik	0	0	0	0
Elfn1	0	0	0	0
Elfn2	2	0	1	0
0610012G03Rik	622	675	616	806
Immt	3853	4207	3860	4254
Jtb	2210	2112	2592	2748
Gpr153	11	29	0	1
Dmrt1	0	0	0	0
Dmrt2	0	0	12	20
Gpr150	0	0	0	0
Gpr157	0	16	29	0
Gpr156	0	0	0	0
Gpr155	987	845	633	1095
Gpr158	0	0	1	0
1700019B03Rik	0	0	11	0
4930567J20Rik	0	0	0	0
1700123M08Rik	25	14	28	22
Reep1	10	0	24	3
Reep3	1377	1231	1054	1331
Reep2	33	36	32	37
Reep5	2306	1962	3282	3214
Reep4	750	750	842	975
Reep6	0	0	0	12
Pdgfa	0	0	0	0
Snhg17	203	224	297	354
Pdgfc	0	0	0	0
Samsn1	740	807	1015	1113
Snhg10	86	36	85	35
Snhg12	62	80	86	117
Snhg18	0	0	0	0
Vtn	0	0	0	0
Sucla2	2689	3168	3064	3701
Gm10324	0	0	0	0
Pdcd10	4753	4166	4843	5467
Pdcd11	1227	1400	1077	1629
Pacs1	8041	6937	8147	7313
Pacs2	1474	1204	970	1559
Ovch2	1	0	0	0
Zufsp	1282	1412	1491	1484
Agap1	0	0	23	0
Agap2	269	284	311	379
Syt13	0	0	4	0
Tbc1d8b	477	332	364	254
Gm11747	0	0	0	0
Gm11744	0	0	0	0
Irak1bp1	6	9	36	1
Cyp2t4	5	8	15	23
Eqtn	0	0	2	0
Olfr917	0	0	0	0
Olfr914	0	0	0	0
Olfr915	0	0	0	0
Olfr912	0	0	0	0
Acyp1	258	240	333	383
Acyp2	11	7	29	13
Olfr918	0	0	0	0
Olfr919	0	0	0	0
4933417O13Rik	0	0	0	0
Gpalpp1	1518	1436	1936	1695
Hscb	352	485	538	667
Coa5	4196	5243	4984	5722
Coa4	174	340	298	277
Coa7	322	239	267	511
Glp1r	0	33	0	0
Sec11c	2279	2990	3208	3494
Coa3	2067	2214	2206	2293
Sncg	0	0	0	0
Sncb	0	0	3	1
Snca	0	0	0	0
Taf5l	4243	3944	3679	4538
Maneal	162	57	185	203
Gm12216	325	364	442	430
Syt15	0	0	0	2
Myeov2	1104	1073	1185	1469
Mir8094	0	0	2	0
Mir8095	0	0	0	0
Mir8096	0	1	0	1
Mir8097	0	0	0	0
Mir8090	0	0	0	0
Mir8091	2	0	0	1
Mir8092	0	0	0	0
Mir8093	0	0	0	0
Fam57b	0	0	0	0
Fam57a	37	54	78	117
Yars	1357	1527	1521	1695
Sdf2l1	1421	1570	1734	1622
Pllp	6	18	12	6
Tgfbrap1	880	1390	1381	1191
Slc25a3	5407	5532	6403	6528
Slc25a2	6	6	4	21
Enah	12	0	5	0
Slc25a5	18700	18887	20294	25105
Enam	0	0	0	0
Ngp	0	3	0	1075
Cd96	6280	4720	6775	6574
Ppp5c	1110	1184	1478	1594
Cd93	7	15	13	41
Pcdhac2	0	0	0	0
Pcdhac1	0	0	0	0
Fam71f1	0	0	0	0
Fam71f2	10	9	3	5
E130201H02Rik	1	0	0	0
Zfp551	188	50	91	102
Zfp553	737	734	637	745
Atcay	39	0	42	13
Zfp558	108	130	112	125
Tdg	1	6	0	3
1600012H06Rik	855	513	868	565
Hykk	89	44	56	2
Pycr2	2223	2839	2209	2571
Pycr1	8	0	10	0
Nfe2l3	7	4	28	9
Nfe2l2	2595	2859	2571	3351
Nfe2l1	3732	4070	3528	4728
Rasgrp2	3876	3726	3924	3902
Fam131a	5	1	0	20
Fam131b	50	9	26	17
Fam131c	0	0	0	0
Iqcf3	0	0	0	0
Rasgrp4	140	167	272	260
Pycrl	499	537	706	742
5530401A14Rik	0	0	0	0
Gm6548	415	320	630	451
Dio3os	0	0	0	0
Hmgb1-rs17	1	0	0	0
Epm2a	0	0	0	0
Tmprss12	0	0	0	0
D8Ertd738e	2237	2396	2569	3012
Tmprss15	1	0	0	0
Ispd	15	0	13	0
Nrxn3	0	0	0	4
Nrxn2	0	0	0	0
Nrxn1	0	0	12	0
Ncr1	11	7	0	61
Tle4	4507	4785	4370	5026
Olfr145	0	0	0	0
Olfr147	0	0	0	0
Olfr146	0	0	0	0
Olfr141	0	0	0	0
Olfr140	0	0	0	0
Olfr143	0	0	0	0
Olfr142	0	0	0	0
Olfr149	0	0	0	0
Olfr148	0	0	0	0
Gm20257	79	103	132	43
Znrf4	0	0	0	0
Znrf1	764	811	929	1011
Znrf3	1123	1272	1047	1225
Znrf2	6950	6897	6398	7657
Apol8	0	0	0	0
Apol6	0	0	0	0
S100z	4	1	1	0
Gm5893	2	0	0	0
Gm5891	0	0	0	0
S100g	24	18	27	8
S100b	9	0	0	0
Gm20877	0	0	0	0
Gm20871	0	0	0	0
Taar8b	0	0	0	0
Gm20878	0	0	0	0
Olig3	0	0	0	2
Taar8a	0	0	0	0
Zfp652os	1	1	0	0
Ptpn18	2960	3415	3304	4926
Ptpn13	1668	1169	1405	1612
Glyatl3	0	0	0	0
Ptpn11	1657	1237	1451	1696
Ptpn14	2	0	3	80
Cdip1	889	916	888	1079
Pinx1	257	387	255	513
Tmsb10	3539	3957	4310	6431
Gm4013	33	22	19	62
Cdipt	4001	4099	4372	4847
Gm4850	0	0	0	0
Gm4858	0	0	0	0
Krt75	0	0	0	0
Krt74	0	0	0	0
Krt77	0	0	0	0
Krt76	0	0	0	0
Krt71	0	0	0	0
Krt73	0	0	0	0
Krt72	0	0	0	0
Krt79	0	0	0	0
Krt78	0	0	0	0
Ncbp1	2710	3304	2750	3363
B630019K06Rik	11	25	23	36
4930591A17Rik	0	0	0	1
Xylt2	1636	2112	1729	2179
Cct8l1	0	1	0	0
Xylt1	387	299	299	325
Pglyrp3	0	0	0	0
Pglyrp2	1648	1683	1793	2138
Pglyrp1	1748	1908	1885	2773
Gpr31b	0	0	0	0
4930539N22Rik	0	0	0	0
Cbll1	1429	1254	1203	1146
Pglyrp4	18	0	0	1
Gm1322	0	0	0	0
Olfr920	0	0	0	0
Gch1	361	200	479	463
D330023K18Rik	42	35	68	95
Ccpg1	4885	5316	5023	5136
4930563M21Rik	0	1	7	0
Gm24148	7	9	0	9
Itpk1	1559	1809	1141	1620
Epha8	0	0	0	0
Epha7	0	0	5	0
Epha6	0	2	4	0
Epha5	0	0	3	0
Epha4	0	0	0	0
Epha3	113	1	19	23
Epha2	0	0	0	0
Epha1	82	103	124	46
Gclm	706	826	819	1034
Gclc	2844	3046	2960	3048
Aldh2	5	20	16	47
Mir138-1	0	0	0	0
Fam105a	11093	12194	12170	11530
Trim28	2667	3026	3308	3328
Trim29	0	0	0	0
Trim24	852	910	1229	1233
Trim25	2158	1448	2059	2159
Trim26	4278	4753	4776	5131
Trim27	3468	3543	3551	4073
Trim21	3277	3761	4576	4220
Trim23	1410	1217	1529	1670
Itpka	0	0	0	0
Itpkc	430	463	519	430
Itpkb	1156	1365	1306	1378
1700065O20Rik	0	0	0	0
Cdc42bpa	1	3	11	56
Cdc42bpb	0	0	0	0
Gatad2b	403	477	593	615
Gatad2a	7921	9020	9296	9839
Thnsl2	9	1	8	4
Thnsl1	275	236	273	217
Lcmt1	386	370	396	462
Lcmt2	725	998	850	799
5430402O13Rik	33	25	10	29
Pex26	434	385	130	466
Gm20110	0	0	0	8
Defa17	0	0	0	0
1110002L01Rik	125	120	104	138
Olfr796	0	0	0	0
Rbm46os	0	0	0	0
Setd5	897	788	1120	1239
Setd4	419	489	644	528
Setd7	271	312	337	390
Sorl1	14613	15236	17087	18800
Tom1	128	150	105	148
Olfr1290	0	0	0	0
Olfr1297	0	0	7	0
Olfr1295	0	0	0	0
Olfr1294	1	0	0	0
Olfr1299	0	0	0	0
Olfr1298	0	0	0	0
Scube2	0	0	11	1
Scube3	0	0	0	0
Scube1	0	0	0	0
Sult2b1	66	44	92	68
Them7	0	10	0	10
Them6	315	436	428	543
Them5	0	0	0	0
Them4	134	164	160	189
Ube3b	5747	5446	4858	6004
Ube3c	3353	3816	3345	4051
Ube3a	5149	4229	5288	5495
Tomt	35	90	103	72
Uqcrq	1570	1720	1871	2272
Hspd1	4756	5552	4772	5761
Uqcrh	3094	3482	3384	4460
Uqcrb	2477	2602	2842	3704
1700116B05Rik	0	0	0	0
Kif1bp	973	1156	718	1368
BC055111	1	1	7	23
Rab27a	1610	2105	1682	2109
Rab27b	1	7	34	70
Fli1	6233	7244	6770	7101
Magee2	0	0	0	0
Magee1	460	336	433	452
Mir1668	0	0	0	0
Gm853	0	0	0	1
Tap1	8108	7735	11673	12438
Ubap2	2134	2018	1930	2626
Ubap1	2446	3016	2582	3181
Tap2	8596	8927	8658	11517
Ppap2c	56	11	81	38
Ppap2b	0	0	0	0
Ppap2a	22	18	24	21
LOC100503496	5	7	8	16
Flii	7103	7097	7996	8326
Lama1	4	0	0	0
Lama2	0	7	14	10
Lama3	0	0	2	0
Lama4	3	0	0	0
Lama5	0	0	1	0
Gng10	1301	1380	1385	1871
Gng11	17	0	14	6
Gng12	128	141	73	214
Gng13	0	0	1	0
Atrip	917	1069	1095	902
Zfhx4	5	0	0	0
St5	36	69	38	116
A630072M18Rik	156	126	226	177
St7	558	555	645	558
Cyp26a1	0	5	0	0
B630005N14Rik	1719	1231	1517	2002
Tmie	78	25	5	23
Fsd1	0	0	0	0
Fsd2	98	43	70	61
L1td1	0	0	0	0
Dtl	129	52	485	292
Gm10825	6	5	9	11
Gm10823	0	0	0	0
Hes1	0	0	0	4
Gm16796	1	3	5	8
Gm16793	11	0	0	0
4921513I03Rik	0	0	0	0
9130221F21Rik	0	0	0	0
Gzma	8140	5626	13933	10339
4933402J07Rik	0	0	0	0
Snf8	1116	1047	1183	1410
Mir7028	0	2	0	0
Mir7029	0	0	0	0
Lif	0	0	0	10
Mir7020	0	0	0	0
Mir7021	3	2	5	3
Mir7022	0	0	0	1
Mir7023	0	0	0	0
Mir7024	0	1	0	0
Mir7025	0	0	0	0
Mir7026	5	4	3	2
Mir7027	4	4	0	1
Muc20	0	42	30	35
Zfp148	6407	5834	5572	6055
Tmem176a	81	21	120	128
Tmem176b	68	38	154	157
Zfp143	1623	1841	1772	1439
Zfp142	1018	1088	1040	1127
Zfp141	1202	1544	1302	1636
Zfp146	416	319	135	205
Olfr303	0	0	0	0
Olfr301	0	0	0	1
Zbed3	154	113	129	191
Zbed4	352	359	302	356
Zbed5	22	25	24	38
Olfr305	0	0	0	0
Olfr304	0	0	0	0
Olfr309	0	0	0	0
Olfr308	0	0	0	0
Gtsf1	0	0	0	7
Ilvbl	1500	1934	1835	2220
1600027J07Rik	0	0	0	0
Tigar	443	396	537	454
Kbtbd7	277	258	286	415
Kbtbd6	0	0	0	0
Kbtbd4	1384	1851	1517	1732
Kbtbd3	457	479	459	370
Kbtbd2	4781	4853	4526	4721
Alb	0	0	0	0
Kbtbd8	358	365	271	485
Gm10790	0	0	2	0
Gm10791	0	0	6	4
Adora2b	0	14	3	7
Ip6k3	0	0	0	0
Ip6k2	76	39	100	76
Ip6k1	7316	8388	8172	7531
1700067K01Rik	3	3	1	3
Tacr3	0	0	0	0
Tacr2	0	0	0	0
Tacr1	0	0	0	0
4933404K08Rik	0	0	0	0
Zfp850	598	309	404	757
Grxcr1	0	0	0	0
Grxcr2	0	0	0	0
Hid1	4952	5460	6141	6021
P3h4	42	12	85	31
P3h3	0	0	0	0
P3h2	0	0	0	0
P3h1	134	258	191	320
Ddit3	574	515	774	807
Ddit4	387	221	176	485
AI182371	36	28	67	27
Hba-x	0	0	0	0
Ubap1l	7	0	14	3
Gtf2f1	1673	2083	2260	2229
Gtf2f2	574	851	901	928
Vps11	3948	3336	3777	3840
Gm11468	0	0	0	0
Gm14499	0	0	0	0
Ap4b1	760	784	852	847
Gm15545	54	37	89	50
Casd1	1697	1883	1403	2031
Kif16bos	0	2	2	0
Mir8111	0	0	0	0
Mir8110	0	0	0	0
Mir8113	4	5	13	1
Mir8112	26	30	24	38
Mir8115	0	0	0	0
Mir8114	0	0	0	0
Mir8117	0	0	0	0
Mir8116	0	0	0	0
Mir8119	12	10	20	31
Mir8118	0	0	1	3
Sf3a3	2417	2801	2536	2630
Gm16897	8	0	13	8
Gm16894	0	0	2	1
B230217O12Rik	114	100	96	122
